연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2014,효돈동,농가수,52,669,0,32,30,177,0,2024-05-13
2014,효돈동,면적,36,299,0,15,21,54,0,2024-05-13
2014,효돈동,생산량,1483,9253,0,1307,460,1298,0,2024-05-13
2014,영천동,농가수,62,781,24,9,57,338,0,2024-05-13
2014,영천동,면적,29,622,20,4,32,128,0,2024-05-13
2014,영천동,생산량,953,19315,779,264,907,3411,0,2024-05-13
2014,동홍동,농가수,15,431,8,0,6,51,0,2024-05-13
2014,동홍동,면적,10,161,6,0,2,17,0,2024-05-13
2014,동홍동,생산량,320,4278,156,0,128,453,0,2024-05-13
2014,서홍동,농가수,15,318,19,40,13,29,0,2024-05-13
2014,서홍동,면적,12,247,11,15,6,13,0,2024-05-13
2014,서홍동,생산량,405,6900,310,1333,155,237,0,2024-05-13
2014,대륜동,농가수,15,404,11,3,0,96,6,2024-05-13
2014,대륜동,면적,13,438,6,1,0,36,1,2024-05-13
2014,대륜동,생산량,429,14031,123,98,0,901,14,2024-05-13
2014,대천동,농가수,86,764,41,28,80,590,5,2024-05-13
2014,대천동,면적,83,526,32,12,60,173,1,2024-05-13
2014,대천동,생산량,2742,16170,777,1043,1577,5566,12,2024-05-13
2014,중문동,농가수,95,1365,12,18,47,169,14,2024-05-13
2014,중문동,면적,67,563,9,4,30,54,3,2024-05-13
2014,중문동,생산량,2204,17480,230,368,841,1678,92,2024-05-13
2014,예래동,농가수,33,649,6,8,6,117,11,2024-05-13
2014,예래동,면적,29,579,3,3,6,33,2,2024-05-13
2014,예래동,생산량,994,18752,105,215,104,985,39,2024-05-13
2015,대정읍,농가수,0,0,0,0,118,217,16,2024-05-13
2015,대정읍,면적,39.4,492.7,0,0,62.4,69.9,4,2024-05-13
2015,대정읍,생산량,977,12275,0,0,1281,2525,139.1,2024-05-13
2015,남원읍,농가수,171,3576,210,419,752,1292,126,2024-05-13
2015,남원읍,면적,158,3301.5,194.2,161.2,611.9,558.9,33,2024-05-13
2015,남원읍,생산량,4134,126021,8118,13999,12677,21150.9,808,2024-05-13
2015,성산읍,농가수,73,1049,36,1,146,147,54,2024-05-13
2015,성산읍,면적,39,812.9,20,0.3,59.1,62.2,5,2024-05-13
2015,성산읍,생산량,1016,24097,710,16,1223,1392,100,2024-05-13
2015,안덕면,농가수,235,965,29,14,132,151,22,2024-05-13
2015,안덕면,면적,78,739.7,10,5.3,63.5,51.9,16,2024-05-13
2015,안덕면,생산량,1507,19390,220,380,1310,1577.7,523.3,2024-05-13
2015,표선면,농가수,0,0,0,89,83,637,31,2024-05-13
2015,표선면,면적,38,937,0,34.6,55,262.3,8.1,2024-05-13
2015,표선면,생산량,1045,26704,0,2832,1138,10631.9,220,2024-05-13
2015,송산동,농가수,34,283,18,34,14,90,0,2024-05-13
2015,송산동,면적,6.8,161.4,4.2,12.3,4.2,31.5,0,2024-05-13
2015,송산동,생산량,254,5724,108,940,21,1034.7,0,2024-05-13
2015,천지동,농가수,9,27,13,0,0,8,0,2024-05-13
2015,천지동,면적,2.9,7.8,4,0,0,2.7,0,2024-05-13
2015,천지동,생산량,71,195,96,0,0,103.6,0,2024-05-13
2015,효돈동,농가수,102,690,0,10,36,194,0,2024-05-13
2015,효돈동,면적,35.4,295,0,3.3,23.1,65.4,0,2024-05-13
2015,효돈동,생산량,1458,9567,0,280,478,2155.6,0,2024-05-13
2015,영천동,농가수,118,701,56,3,59,344,0,2024-05-13
2015,영천동,면적,31,621,19,1.1,32.4,130.7,0,2024-05-13
