사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일자
365 모바일월드,방문판매업,20150624,,폐업,20170908.0,,,,,,"제주특별자치도 제주시 동문로 **-*, *호 (건입동)",63282.0,2018-08-31 23:59:59
효소화장품,방문판매업,20150625,,폐업,20151102.0,,,,,,"제주특별자치도 제주시 태성로 **, ***동 ***층 (일도이동, 대림*차아파트)",63262.0,2018-08-31 23:59:59
로하스2,방문판매업,20150702,,폐업,20151209.0,,,,,,"제주특별자치도 제주시 신산로 *, *층 (일도일동)",63264.0,2018-08-31 23:59:59
우리상사,방문판매업,20050318,,폐업,20210510.0,,,,,제주특별자치도 제주시 이도이동 ****번지 **호 수선화아파트 A동 ***호,"제주특별자치도 제주시 신설동길 **, A동 ***호 (이도이동, 수선화시영연립주택)",63305.0,2021-05-12 02:40:00
정산생명공학제주지사,방문판매업,20070723,,폐업,20200805.0,,,,,제주특별자치도 제주시 이도이동 ****번지 **호,"제주특별자치도 제주시 중앙로 ***, *층 (이도일동)",63197.0,2020-08-08 02:40:00
주식회사 모두네트웍,방문판매업,20150714,,폐업,20171231.0,,,,,,"제주특별자치도 제주시 오라남로 **, *층 (오라이동, 포원정보통신빌딩)",63144.0,2018-08-31 23:59:59
와짱제주지사,방문판매업,20150810,,폐업,20160211.0,,,,,,"제주특별자치도 제주시 고마로 **, *층 (일도이동)",63253.0,2018-08-31 23:59:59
제주웰빙디씨마트,방문판매업,20140729,,폐업,20180103.0,,,,,,제주특별자치도 제주시 중앙로**길 **-* (일도일동),63264.0,2018-08-31 23:59:59
굿모닝보청기,방문판매업,20090729,,폐업,20121210.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 *호 대주빌딩 *층,"제주특별자치도 제주시 서광로 *** (삼도일동,대주빌딩 *층)",,2018-08-31 23:59:59
태양당대길운철학원,방문판매업,20010611,,폐업,20080131.0,,,,,제주특별자치도 제주시 화북일동 ****번지 *호,제주특별자치도 제주시 금산*길 * (화북일동),,2018-08-31 23:59:59
튼튼영어제주북부대리점,방문판매업,20020103,,폐업,20080219.0,,,,,제주시 삼도 *동 ***-**,,,2018-08-31 23:59:59
동원 ICT,방문판매업,20150824,,폐업,20190122.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 올래케이티,"제주특별자치도 제주시 전농로 ***, 올래케이티 *층 (이도일동)",63199.0,2019-01-24 02:40:00
아이엔티 정보통신,방문판매업,20150826,,폐업,20170629.0,,,,,,"제주특별자치도 제주시 정존**길 **, ***호 (노형동)",63102.0,2018-08-31 23:59:59
그린피아,방문판매업,20150923,,폐업,20160621.0,,,,,,제주특별자치도 제주시 용해로 *** (용담이동),63159.0,2018-08-31 23:59:59
나우디자인,방문판매업,20151125,,폐업,20170703.0,,,,,,"제주특별자치도 제주시 진군남*길 *, ***호 (노형동, 더힐주상복합상가 기업지원센터)",63092.0,2018-08-31 23:59:59
제주 아이비,방문판매업,20140220,,폐업,20160722.0,,,,,,제주특별자치도 제주시 과원북*길 * (노형동),63086.0,2018-08-31 23:59:59
멀티넷정보통신,방문판매업,20140516,,폐업,20231010.0,,,,,제주특별자치도 제주시 일도이동 **번지 *호,제주특별자치도 제주시 태성중*길 * (일도이동),63260.0,2023-10-12 02:40:00
한솔씨앤피,방문판매업,20140523,,폐업,20181017.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,제주특별자치도 제주시 수덕*길 **-* (노형동),63103.0,2018-10-19 02:37:31
탑(TOP_sh),방문판매업,20140523,,폐업,20170703.0,,,,,,"제주특별자치도 제주시 문연로 **, *층 (연동)",63120.0,2018-08-31 23:59:59
제주올레정보통신,방문판매업,20140603,,폐업,20190508.0,,,,,제주특별자치도 제주시 일도이동 ***번지 **호,제주특별자치도 제주시 태성로*길 ** (일도이동),63261.0,2019-05-12 02:40:00
마임 동부지사,방문판매업,20140613,,폐업,20161231.0,,,,,,"제주특별자치도 제주시 남광로 ***, *층 ***호 (일도이동, 대유대림상가)",63262.0,2018-08-31 23:59:59
에코라이프,방문판매업,20140619,,폐업,20141218.0,,,,,,"제주특별자치도 제주시 중앙로**길 *, *층 (이도일동)",,2018-08-31 23:59:59
농업회사법인주식회사함박재바이오팜,방문판매업,20140221,,폐업,20170920.0,,,,,,제주특별자치도 제주시 첨단로 ***-* (영평동),63309.0,2018-08-31 23:59:59
그랜드홈파티스,방문판매업,20140721,,폐업,20150126.0,,,,,,"제주특별자치도 제주시 고마로 ***, *층 (이도이동)",,2018-08-31 23:59:59
에스앤에스 시스템,방문판매업,20140722,,폐업,20240703.0,,,,,제주특별자치도 제주시 영평동 ****번지 *호,제주특별자치도 제주시 황사평*길 *** (영평동),63308.0,2024-07-05 02:40:00
백두,방문판매업,20140728,,폐업,20150105.0,,,,,,"제주특별자치도 제주시 신설로*길 **, *층 ***호 (이도이동)",,2018-08-31 23:59:59
(주)유림유통,방문판매업,20111128,,폐업,20130601.0,,,,,제주특별자치도 제주시 일도*동 ****번지 **호,제주특별자치도 제주시 성지로 ** (일도이동),,2018-08-31 23:59:59
서웅상사,방문판매업,20090730,,폐업,20100401.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호 ***호,"제주특별자치도 제주시 광양**길 **, ***호 (이도이동)",,2018-08-31 23:59:59
월드보은,방문판매업,20090814,,폐업,20091120.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 *호 A동 ***호,"제주특별자치도 제주시 서사로 **, A동 ***호 (삼도일동)",,2018-08-31 23:59:59
주식회사 아이티미디어,방문판매업,20090831,,폐업,20131024.0,,,,,제주특별자치도 제주시 연동 ****번지 *호 *층,"제주특별자치도 제주시 연화로*길 ** (연동,*층)",,2018-08-31 23:59:59
정동상사,방문판매업,20090831,,폐업,20180323.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,"제주특별자치도 제주시 신대로 **, *층 (연동)",63119.0,2018-08-31 23:59:59
오휘신제주지사,방문판매업,20090921,,폐업,20130812.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,제주특별자치도 제주시 신대로 *** (연동),,2018-08-31 23:59:59
Jeju탐라특판,방문판매업,20090922,,폐업,20100416.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,제주특별자치도 제주시 수덕*길 * (노형동),,2018-08-31 23:59:59
동광윤선생영어숲학원,방문판매업,20091008,,폐업,20150622.0,,,,,제주특별자치도 제주시 일도이동 ***번지 *호,제주특별자치도 제주시 태성로*길 ** (일도이동),,2018-08-31 23:59:59
제이비엔,방문판매업,20091020,,폐업,20100322.0,,,,,제주특별자치도 제주시 오라일동 ****번지 *층,,,2018-08-31 23:59:59
마임노형지사,방문판매업,20091029,,폐업,20160420.0,,,,,제주특별자치도 제주시 노형동 ***번지 *호 중흥S클래스 상가 ***호,"제주특별자치도 제주시 한라대학로 *** (노형동, 중흥에스클래스아파트)",63089.0,2018-08-31 23:59:59
대우자동차 선진,방문판매업,20020312,,폐업,20131106.0,,,,,제주시 일도 *동 ***-**,,,2018-08-31 23:59:59
마임연동지사,방문판매업,20020404,,폐업,20130801.0,,,,,제주특별자치도 제주시 연동 ***번지 *호 *층,"제주특별자치도 제주시 선덕로 ** (연동,*층)",,2018-08-31 23:59:59
마임제주중부지사,방문판매업,20020710,,폐업,20130801.0,,,,,제주시 삼도 *동 ***-*,,,2018-08-31 23:59:59
(주)우백모터스,방문판매업,20080918,,폐업,20201231.0,,,,,제주특별자치도 제주시 애월읍 유수암리 ****번지 **호,제주특별자치도 제주시 애월읍 유수암평화*길 **-**,63067.0,2021-01-02 02:40:00
주식회사 와이에스바이오,방문판매업,20120718,,폐업,20151008.0,,,,,제주특별자치도 제주시 일도*동 ****번지 *호 *층,"제주특별자치도 제주시 칠성로길 **, *층 (일도일동)",63277.0,2018-08-31 23:59:59
건강사랑(제주총판),방문판매업,20120730,,폐업,20130131.0,,,,,제주특별자치도 제주시 이도*동 ****번지 **호,제주특별자치도 제주시 동고산로 **-* (이도이동),,2018-08-31 23:59:59
다올에스엔제이,방문판매업,20120827,,폐업,20140102.0,,,,,제주특별자치도 제주시 삼도이동 ***번지 *호 *층,"제주특별자치도 제주시 전농로 **-*, *층 (삼도이동)",,2018-08-31 23:59:59
(주)케이티씨에스 제주114센터,방문판매업,20060214,,폐업,20100118.0,,,,,제주특별자치도 제주시 이도일동 ****번지,,,2018-08-31 23:59:59
로제트,방문판매업,20131002,,폐업,20150116.0,,,,,,"제주특별자치도 제주시 한경면 고산로 **, 지하층",,2018-08-31 23:59:59
(주)드림컴퓨터랜드,방문판매업,20141119,,폐업,20170403.0,,,,,,제주특별자치도 제주시 연삼로 *** (도남동),63221.0,2018-08-31 23:59:59
디자인빅뱅,방문판매업,20110829,,폐업,20151109.0,,,,,,"제주특별자치도 제주시 북성로 **, *층 (삼도이동)",63167.0,2018-08-31 23:59:59
씨에스(CS)텔레콤,방문판매업,20141204,,폐업,20170518.0,,,,,,"제주특별자치도 제주시 동광로 **, B동 ***호 (일도이동, 이룸해피안)",63274.0,2018-08-31 23:59:59
일도튼튼의료기보청기,방문판매업,20141211,,폐업,20170619.0,,,,,,"제주특별자치도 제주시 고마로 **, ***호 (일도이동)",63253.0,2018-08-31 23:59:59
다이아오에이(OA),방문판매업,20150102,,폐업,20170210.0,,,,,,제주특별자치도 제주시 남광로 ***-* (일도이동),63261.0,2018-08-31 23:59:59
센트럴네트워크,방문판매업,20150109,,폐업,20151224.0,,,,,,"제주특별자치도 제주시 동광로**길 **, *층 (일도이동)",63273.0,2018-08-31 23:59:59
그린센추리,방문판매업,20150120,,폐업,20170808.0,,,,,,"제주특별자치도 제주시 사장길 **, *층 (연동)",63133.0,2018-08-31 23:59:59
헬로우메리,방문판매업,20150128,,폐업,20160302.0,,,,,,"제주특별자치도 제주시 서사로*길 **, ***호 (삼도일동)",63173.0,2018-08-31 23:59:59
거성홀쇼핑,방문판매업,20150212,,폐업,20170102.0,,,,,,"제주특별자치도 제주시 남녕로 **, 지하*층 (노형동)",63097.0,2018-08-31 23:59:59
세모스쿠알렌 제주점,방문판매업,20150306,,폐업,20231116.0,,,,,제주특별자치도 제주시 도남동 ***번지 *호,제주특별자치도 제주시 복지로*길 *-* (도남동),63220.0,2023-11-18 02:40:00
주방명품87상사,방문판매업,20150309,,폐업,20200804.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 *층,"제주특별자치도 제주시 신대로 **, *층 (연동)",63119.0,2020-08-06 02:40:00
튼튼영어,방문판매업,20021204,,폐업,20181025.0,,,,,제주특별자치도 제주시 외도일동 ***번지 *호 노블레스 ***호,"제주특별자치도 제주시 우정로*길 **, ***호 (외도일동, 노블레스)",63069.0,2018-10-27 02:37:43
드림포스,방문판매업,20030113,,폐업,20080627.0,,,,,제주특별자치도 제주시 화북일동 ****번지 *호,제주특별자치도 제주시 일주동로 *** (화북일동),,2018-08-31 23:59:59
차세대,방문판매업,19991026,,폐업,20071031.0,,,,,제주특별자치도 제주시 화북일동 ****번지,제주특별자치도 제주시 화남로 ** (화북일동),,2018-08-31 23:59:59
주식회사 상조서비스 사임당,방문판매업,20071105,,폐업,20131029.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 **호,제주특별자치도 제주시 서광로 *** (삼도일동),,2018-08-31 23:59:59
JavaKT,방문판매업,20071106,,폐업,20071206.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 *층,"제주특별자치도 제주시 전농로 *** (이도일동,*층)",,2018-08-31 23:59:59
114 제주,방문판매업,20071116,,폐업,20090630.0,,,,,제주특별자치도 제주시 이도이동 ****번지 **호 ***호,"제주특별자치도 제주시 연삼로 *** (이도이동,***호)",,2018-08-31 23:59:59
MARY KAY,방문판매업,20071121,,폐업,20071129.0,,,,,제주특별자치도 제주시 도남동 **번지 *호 **통 *반 장인빌라 ***호,"제주특별자치도 제주시 도남로**길 **, ***호 (도남동,장인빌라)",,2018-08-31 23:59:59
제주단식원,방문판매업,20041102,,폐업,20071210.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 *호,제주특별자치도 제주시 서사로**길 * (삼도일동),,2018-08-31 23:59:59
쌍용자동차 제주중앙영업소,방문판매업,20071227,,폐업,20130501.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호,제주특별자치도 제주시 연삼로 *** (이도이동),,2018-08-31 23:59:59
노벨과개미,방문판매업,20030416,,폐업,20081130.0,,,,,제주시 삼도 *동 ***-*,제주특별자치도 제주시 관덕로 ** (삼도이동),,2018-08-31 23:59:59
건국우유 신제주점,방문판매업,20180627,,폐업,20241203.0,,,,,제주특별자치도 제주시 오라일동 ****-*,제주특별자치도 제주시 오라로**길 ** (오라일동),63191.0,2024-12-06 02:40:00
우리보청기,방문판매업,20180719,,폐업,20220325.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,"제주특별자치도 제주시 도령로 **, *층 (연동)",63129.0,2022-03-30 02:40:00
주식회사 미애부 제주 뷰티존,방문판매업,20160115,,폐업,20170119.0,,,,,,"제주특별자치도 제주시 서광로 ***-*, *층 (삼도일동, 영지빌딩)",63182.0,2018-08-31 23:59:59
주식회사 우리이앤씨,방문판매업,20160211,,폐업,20170224.0,,,,,,"제주특별자치도 제주시 과원로 ***-*, *층 *호 (연동)",63142.0,2018-08-31 23:59:59
오션텔레콤,방문판매업,20160404,,폐업,20180816.0,,,,,제주특별자치도 제주시 용담이동 ***번지 **호,제주특별자치도 제주시 용화로 ** (용담이동),63156.0,2018-08-31 23:59:59
사랑채,방문판매업,20160609,,폐업,20220503.0,,,,,제주특별자치도 제주시 연동 ***-** 연일빌라,"제주특별자치도 제주시 신광로*길 **, ***호 (연동, 연일빌라)",63131.0,2022-05-05 02:40:00
대경페이(DK Pay),방문판매업,20160614,,폐업,20190201.0,,,,,제주특별자치도 제주시 일도이동 **번지 *호,"제주특별자치도 제주시 연수로*길 *, *층 (일도이동, 인해빌딩)",63258.0,2019-02-03 02:40:00
주식회사 봉봉오토모빌,방문판매업,20160929,,폐업,20220622.0,,,,,제주특별자치도 제주시 화북일동 ****-*,"제주특별자치도 제주시 선반로 **, *층 (화북일동)",63298.0,2022-06-25 02:40:00
엘레쟈라텍스(외도),방문판매업,20161004,,폐업,20171213.0,,,,,,제주특별자치도 제주시 우정로**길 * (외도일동),63069.0,2018-08-31 23:59:59
케이씨씨 오토모빌 주식회사,방문판매업,20161115,,폐업,20200603.0,,,,,제주특별자치도 제주시 오라삼동 ****번지,제주특별자치도 제주시 연삼로 *** (오라삼동),63145.0,2020-06-05 02:40:00
케이지모빌리티 한림판매출장소,방문판매업,20161121,,폐업,20241018.0,,,,,제주특별자치도 제주시 한림읍 대림리 ****번지 *호,제주특별자치도 제주시 한림읍 대림*길 **,63030.0,2024-10-23 02:40:00
윤선생영어교실 신제주센터,방문판매업,20161130,,폐업,20250310.0,,,,,제주특별자치도 제주시 연동 ****번지,"제주특별자치도 제주시 국기중길 **, ***호 (연동)",63139.0,2025-03-13 02:40:00
윤선생영어교실 제주서부센터,방문판매업,20140820,,폐업,20180601.0,,,,,제주특별자치도 제주시 애월읍 하귀*리 ****번지 *호,제주특별자치도 제주시 애월읍 하소로 **-**,63050.0,2018-08-31 23:59:59
이노티엔씨 영농종합법인,방문판매업,20200106,,폐업,20200618.0,,,,,제주특별자치도 제주시 구좌읍 동복리 ****번지 *호,제주특별자치도 제주시 구좌읍 동복로*길 *,63347.0,2020-06-21 02:40:00
종근당건강 헬스벨스토리 제주아라점,방문판매업,20191216,,폐업,20240312.0,,,,,제주특별자치도 제주시 아라일동 ****번지 *호,"제주특별자치도 제주시 중앙로 ***, *층 (아라일동)",63238.0,2024-03-15 02:40:00
준 컴퍼니,방문판매업,20191004,,폐업,20200427.0,,,,,제주특별자치도 제주시 연동 ***번지 *호 미도스카이빌,"제주특별자치도 제주시 노연로 ***-*, ***호 (연동, 미도스카이빌)",63133.0,2020-04-30 02:40:00
스파족욕기,방문판매업,20240712,,폐업,20250317.0,,,,,제주특별자치도 제주시 애월읍 수산리 ***,"제주특별자치도 제주시 애월읍 번대동길 **-*, *층",63056.0,2025-03-21 02:40:00
가온네트웍스 주식회사,방문판매업,20191104,,폐업,20200604.0,,,,,제주특별자치도 제주시 삼양일동 ****번지 *호 라온빌*차 ***호,"제주특별자치도 제주시 선사로*길 **, ***호 (삼양일동, 라온빌*차)",63317.0,2020-06-07 02:40:00
이바디,방문판매업,20200225,,폐업,20200727.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호,"제주특별자치도 제주시 오현길 **, *층 (이도일동)",63192.0,2020-07-30 02:40:00
제주마임남부온새미지사,방문판매업,20200316,,폐업,20220412.0,,,,,제주특별자치도 제주시 이도이동 ****번지 전원파크맨션,"제주특별자치도 제주시 신성로**길 **, ***호 (이도이동, 전원파크맨션)",63206.0,2022-04-14 02:40:00
유한회사 폰사랑,방문판매업,20200313,,폐업,20200430.0,,,,,제주특별자치도 제주시 일도이동 ***번지 *호,"제주특별자치도 제주시 고마로 ***, *층 (일도이동)",63275.0,2020-05-03 02:40:00
바리에르(Varier) 인셀덤,방문판매업,20200130,,폐업,20210413.0,,,,,제주특별자치도 제주시 한림읍 한림리 ****번지 *호 해원오피스텔,"제주특별자치도 제주시 한림읍 한림남*길 *, 해원오피스텔 ***호",63032.0,2021-04-16 02:40:00
더 썬 제주 인셀덤,방문판매업,20200129,,폐업,20200612.0,,,,,제주특별자치도 제주시 한림읍 한림리 ***번지 *호,"제주특별자치도 제주시 한림읍 명랑남길 **-*, *층 ***호",63028.0,2020-06-17 02:40:00
카일라스(신제주점),방문판매업,20200611,,폐업,20211101.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 로얄쇼핑센타및오피스텔,"제주특별자치도 제주시 신대로**길 **, 로얄쇼핑센타및오피스텔 *층 (연동)",63124.0,2021-11-03 02:40:00
주식회사 비티이앤씨,방문판매업,20200605,,폐업,20200716.0,,,,,제주특별자치도 제주시 애월읍 하귀*리 ****번지 *호,"제주특별자치도 제주시 애월읍 하귀로 **, *층",63051.0,2020-07-18 02:40:00
뉴톤보청기 제주지사,방문판매업,20200608,,폐업,20241029.0,,,,,제주특별자치도 제주시 이도일동 ****번지 **호,"제주특별자치도 제주시 서광로 ***, *층 (이도일동)",63198.0,2024-11-02 02:40:00
(주)아셀월드인터내셔널,방문판매업,20200520,,폐업,20210909.0,,,,,제주특별자치도 제주시 오라삼동 ****-* 세계빌딩,"제주특별자치도 제주시 서광로 **, 세계빌딩 *층 (오라삼동)",63148.0,2021-09-11 02:40:00
코앤코교육 제주지사,방문판매업,20200622,,폐업,20200622.0,,,,,제주특별자치도 제주시 도남동 ***번지 **호,"제주특별자치도 제주시 서광로**길 **, *층 (도남동)",63201.0,2020-06-25 00:23:17
와이제이다온,방문판매업,20211111,,폐업,20241203.0,,,,,제주특별자치도 제주시 이도일동 ****-**,"제주특별자치도 제주시 동광로*길 **-*, *층 (이도일동)",63197.0,2024-12-07 02:40:00
태평양유통,방문판매업,20071129,,폐업,20231219.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 광양미화아파트,"제주특별자치도 제주시 광양*길 **, ***호 (이도일동, 광양미화아파트)",63199.0,2023-12-21 02:40:00
노형대리점,방문판매업,20200129,,폐업,20210603.0,,,,,제주특별자치도 제주시 노형동 ****-* 계림아파트,"제주특별자치도 제주시 수덕*길 **, 계림아파트 ***호 (노형동)",63099.0,2021-06-05 02:40:00
리더스클럽,방문판매업,20210901,,폐업,20221104.0,,,,,제주특별자치도 제주시 삼도이동 ***,"제주특별자치도 제주시 중앙로**길 **, ***호 (삼도이동)",63169.0,2022-11-09 02:40:00
실버라인대리점,방문판매업,20210810,,폐업,20220330.0,,,,,,"제주특별자치도 제주시 정존*길 **, ****호 (노형동, 웰빙파크)",63103.0,2022-10-13 02:40:00
제이케이 샤인점,방문판매업,20221227,,폐업,20231201.0,,,,,제주특별자치도 제주시 용담일동 ***-**,"제주특별자치도 제주시 남성로**길 **-*, *층 (용담일동)",63174.0,2023-12-03 02:40:00
주식회사 라이징스타,방문판매업,20210504,,폐업,20220318.0,,,,,제주특별자치도 제주시 오라삼동 ****-* 세계빌딩,"제주특별자치도 제주시 서광로 **, 세계빌딩 *층 (오라삼동)",63148.0,2022-04-03 02:40:00
탐라대리점,방문판매업,20210504,,폐업,20210603.0,,,,,제주특별자치도 제주시 노형동 ****-* 계림아파트,"제주특별자치도 제주시 수덕*길 **, ***호 (노형동, 계림아파트)",63099.0,2021-06-05 02:40:00
에이디텔레콤주식회사,방문판매업,20150413,,폐업,20180725.0,,,,,제주특별자치도 제주시 도남동 ***번지 *호 *층,"제주특별자치도 제주시 복지로*길 **, *층 (도남동)",63220.0,2018-08-31 23:59:59
제주노형윤선생영어교실,방문판매업,20180920,,폐업,20191125.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,"제주특별자치도 제주시 남녕로 **, *층 (노형동)",63097.0,2019-12-08 02:40:00
한국신용정보통신,방문판매업,20200916,,폐업,20241121.0,,,,,제주특별자치도 제주시 이도일동 ****-*,"제주특별자치도 제주시 중앙로**길 **, *층 (이도일동)",63193.0,2024-11-23 02:40:00
두근두근홈케어,방문판매업,20201008,,폐업,20220624.0,,,,,제주특별자치도 제주시 도평동 ****,"제주특별자치도 제주시 우평로 ***, *층 ***호 (도평동)",63075.0,2022-07-06 02:40:00
인셀덤정,방문판매업,20191028,,폐업,20210824.0,,,,,제주특별자치도 제주시 조천읍 신흥리 ***-*,"제주특별자치도 제주시 조천읍 신흥로 **, ***동 ***호",63332.0,2021-08-28 02:40:00
주식회사 앤케이글로벌,방문판매업,20201102,,폐업,20210524.0,,,,,제주특별자치도 제주시 이도이동 **-**,제주특별자치도 제주시 연신로 **-* (이도이동),63228.0,2021-05-26 02:40:00
코앤코교육 제주지사,방문판매업,20210218,,폐업,20250514.0,,,,,제주특별자치도 제주시 오라삼동 ****-**,"제주특별자치도 제주시 동성길 *, *층 ***호 (오라삼동)",63149.0,2025-05-17 02:40:00
해피리치(Happy Rich),방문판매업,20220714,,폐업,20250307.0,,,,,제주특별자치도 제주시 일도이동 ***-* 영도제나빌아파트 ***동 ***호,"제주특별자치도 제주시 고마로 ***-*, ***동 ***호 (일도이동, 영도제나빌)",63275.0,2025-03-09 02:40:00
나르지오제주지점,방문판매업,20190103,,폐업,20200521.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 **호,제주특별자치도 제주시 서광로 *** (삼도일동),63183.0,2020-05-23 02:40:00
조이,방문판매업,20181224,,폐업,20191122.0,,,,,제주특별자치도 제주시 애월읍 하귀*리 ***번지 *호,"제주특별자치도 제주시 애월읍 하귀*길 *, *층",63054.0,2019-11-24 02:40:00
종근당건강 헬스벨스토리 제주일도점,방문판매업,20201201,,폐업,20221116.0,,,,,제주특별자치도 제주시 일도이동 ***-** 이룸해피안,"제주특별자치도 제주시 동광로 **, ***호B호 (일도이동, 이룸해피안)",63274.0,2022-11-18 02:40:00
엘뤼프333,방문판매업,20231005,,폐업,20240507.0,,,,,제주특별자치도 제주시 영평동 **** 제주효성해링턴코트*차*단지,"제주특별자치도 제주시 기와*길 ***-**, ***동 ***호 (영평동, 제주효성해링턴코트*차*단지)",63308.0,2024-05-10 02:40:00
제주넷,방문판매업,20241129,,폐업,20250811.0,,,,,제주특별자치도 제주시 이도일동 ****-** 에스빌딩 ***호,"제주특별자치도 제주시 광양*길 *, 에스빌딩 ***호 (이도일동)",63197.0,2025-08-13 02:40:00
점프셈제주지사,방문판매업,20050726,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 이도 *동 ****-*,,,2018-08-31 23:59:59
눈사랑제주지사,방문판매업,20050927,20071211.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 연동 ****번지 *호,제주특별자치도 제주시 국기로*길 * (연동),,2018-08-31 23:59:59
한라,방문판매업,20041124,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 이호 *동 ***-*,,,2018-08-31 23:59:59
대상인터내셔널,방문판매업,20040323,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 한경면 고산리 ****,,,2018-08-31 23:59:59
대상인터내셔널,방문판매업,20040616,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 한경면 고산리 ****,,,2018-08-31 23:59:59
제이제이테크,방문판매업,20051102,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 애월읍 하귀*리 ***-*,,,2018-08-31 23:59:59
남양알로에남부특약점,방문판매업,19960907,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 이도이동 ****번지 *호,,,2018-08-31 23:59:59
워터스신제주대리점,방문판매업,19961031,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 연동 ***번지 **호,제주특별자치도 제주시 사장길 ** (연동),,2018-08-31 23:59:59
(주)한솔화장품,방문판매업,19960906,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 이도일동 ****번지,,,2018-08-31 23:59:59
경성정보통신,방문판매업,20060331,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 용담일동 ****번지 **호,제주특별자치도 제주시 서광로 *** (용담일동),,2018-08-31 23:59:59
이지시스템,방문판매업,19961230,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 일도이동 ***번지 **호,제주특별자치도 제주시 고마로 ** (일도이동),,2018-08-31 23:59:59
마임연동 남부지사,방문판매업,20070727,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 연동 ****번지,제주특별자치도 제주시 국기중길 ** (연동),,2018-08-31 23:59:59
제주상사,방문판매업,20040212,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 이도 *동 **-*,,,2018-08-31 23:59:59
한일의료기,방문판매업,20040217,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 용담 *동 ***-**,,,2018-08-31 23:59:59
제이에스비,방문판매업,20040513,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 외도 *동 ****-*,,,2018-08-31 23:59:59
케이지씨판매신제주지사,방문판매업,20040706,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 연동 **** *층 *호,,,2018-08-31 23:59:59
영어조합법인제주자라,방문판매업,20040924,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 외도일동 ****번지 *호,제주특별자치도 제주시 계명길 ** (외도일동),,2018-08-31 23:59:59
논리수학,방문판매업,19970430,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 용담일동 ****번지 *호,제주특별자치도 제주시 서광로 *** (용담일동),,2018-08-31 23:59:59
왕벌화진화장품,방문판매업,19980707,20081013.0,취소/말소/만료/정지/중지,,,,,,제주특별자치도 제주시 도남동 ****번지 *호 서강빌딩 *층,,,2018-08-31 23:59:59
현대이도판매대리점,방문판매업,19980912,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 이도 *동 ****-**,,,2018-08-31 23:59:59
한라카서비스센타,방문판매업,19981015,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 연동 ***-**,,,2018-08-31 23:59:59
㈜더블랜드,방문판매업,20031229,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 이도 *동 ****-* 동양화재빌딩 *층,,,2018-08-31 23:59:59
한국건강원,방문판매업,20040311,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 한경면 용수리 ****,,,2018-08-31 23:59:59
현대 한라판매대리점,방문판매업,19990220,20071211.0,취소/말소/만료/정지/중지,,,,,,제주시 구좌읍 세화리 ****-*,,,2018-08-31 23:59:59
제주마을㈜,방문판매업,20060105,20081013.0,취소/말소/만료/정지/중지,,,,,,제주시 한림읍 금능리 ***-**,,,2018-08-31 23:59:59
